abhor	 …'を'ひどくきらう,嫌悪する 
braze	 〈金属〉'を'はんだづけ(ろうづけ)する 
bread	 『パン』,食パン / (生名の糧(かて)として必要な)食物一般…生計・金・銭
break	 …'を'『壊す』,割る,砕く;…'を'折る / …'を'擦りむく / …'を'『役に立たなくする』,壊す / (小さな物に)〈組になった物〉'を'分ける,ばらす,〈お金〉'を'くずす《+『名』+『into』+『名』》 / 〈垣・へいなど〉'を'破って出る / 〈法律・規則・約束など〉'を'『破る』,犯す / 〈均整・秩序・配列など〉'を'破る,くずす;〈持続しているもの〉'を'中止する,妨げる / 〈記録〉'を'破る,更新する / (…に)…'を'打ち明ける,知らせる《+『名』+『to』+『名』》 / …'を'破産させる,倒産させる / 〈気力・抵抗など〉'を'くじく;〈力・効果・強度〉'を'弱める / (…に)…‘の'位を下げる,…'を'降等させる《+『名』+『to』+『名』》 / 〈動物〉'を'ならす / 〈人〉‘の'(…の)癖を直す《+『名』〈人〉+『of』+『名』(do『ing』)》 / 〈暗号など〉'を'解読する;〈事件・問題など〉を解決する,解く / 《しばしば副詞[句]を伴って》『壊れる』,砕ける,割れる;破れる,破裂する / ぷっつりと切れる;中断する,途切れる;《米》仕事を中断する / はずれる,離れる,分離する《+『off』(『away』)》 / 故障する,壊れる,動かなくなる / 突然始まる;突然変化する / 夜が明ける / 〈健康・気力などが〉衰える,弱る;〈心が〉悲しみに打ちひしがれる / 〈株・価格などが〉急落する,暴落する / 壊れた箇所,裂け目,割れ目 / 中断,途切れ;不和,仲たがい / 休憩時間,小休止 / 逃亡計画,脱獄 / (…に向かっての)突進 / 急な変化,顕著な変化 / 夜明け / 《話》運,機会 
bream	 タイ科の海産魚 / コイ科の淡水魚
brick	 〈C〉(1個の)『れんが』 / 〈U〉(材料としての)『れんが』 / 〈C〉(形が)れんがに似た物 / れんがの,れんが造りの / 〈建築物〉を=れんがで囲う,れんがで作る,…‘に'れんがを敷く《+『in』(『on』)+『名』》 
bride	 花嫁,新婦 
brief	 『短時間の』;短期間の(short) / 言葉数の少ない,簡潔な / (弁護士が裁判所に提出する)弁輪趣意書 / 《複数形で》(下着の)ブリーフ / 〈人〉‘に'必要な指示(情報)を与える / …‘を'要約する
brine	 塩水 / 《the ~》《詩》海水;海 / 漬物用の塩水 
bring	 〈物〉‘を'『持ってくる』 / 〈人が〉(…に)〈人〉‘を'『連れてくる』《+『名』〈人〉+『to』+『名』》 / 〈物事が〉(…に)〈人〉‘を'『来させる』,引き寄せる《+『名』+『to』+『名』》 / 〈物事〉をもたらす,引き起こす / (ある状態・結果・動作などに)…‘を'『する』 / (…に対して)〈訴訟〉を起こす《+『名』+『for』(『against』)+『名』》
brink	 (がけ・河岸などの)『緑』 / まぎわ
briny	 塩水の,塩水に似た;塩辛い 
brisk	 (人・動作などが)『きびきびした』,元気のよい / (商況が)活気のある,盛んな / (風などが)身のひきしまるような,さわやかな 
broad	 『幅の広い』 / 『広大な』,広々とした / 幅が…ある / 寛大な,包容力のある,偏見のない / 広範囲にわたる / 分かりやすい,明白な / くまなく行き渡った,さえぎるもののない,明るい / あけすけの,露骨な / 主要な;大まかな,大ざっぱな / (発音に)強いなまりのある / すっかり,広く(wide) 
broil	 《おもに米》〈肉など〉'を'焼く,あぶる / …‘に'照りつける,焼くような熱気を注ぐ / 〈肉が〉焼ける / 激しい暑さにさらされる,焼けつくように暑くなる;ひどい日焼けをする / 焼き肉 
broke	 breakの過去形 / ほとんど(全く)金を持たない,文なしの
broth	 蒲いスープ,(肉・さかなの)煮つゆ 
brown	 『褐色の』,『茶色の』 / 日に焼けた / 『褐色』,『茶色』,トビ色 / …'を'褐色にする / 褐色になる 
bruin	 クマ君(童話の中で擬人化されたクマ) 
bruit	 《うわさなど》'を'言いふらす 
brunt	 (功撃の)主力,ほこ先 
brush	 『ブラシ』,『はけ』,毛筆,画筆 / ブラシをかけること;絵筆を使うこと,画法 / ブラシに似た物;キツネのしっぽなど / 小ぜり合い,いざこざ / (…が)さっとかすること《+『of』+『名』》 / (モーターの)ブラシ,刷子 / …‘に'『ブラシをかける』,'を'ブラシでこする(みがく,払う) / (ブラシをかけるようにして,手で)…'を'払いのける / (通りすがりに)…'を'さっとかする / (…を)かすめて通る,かする《+『past』(『by』,『against』)+『名』》
brute	 『けもの』,動物,畜生 / 《時に軽べつして,時におどけて》『けもののような人』,人非人 / 理性のない,動物的な / (けもののように)粗暴な,野卑な
budge	 《won't, wouldn'tと共に》ちょっと動く / 《can't, couldn'tと共に》…'を'ちょっと動かす
bugle	 軍隊らっぱ / らっぱを吹く
build	 〈物〉'を'『組み立てる』,造る,建造する,建築する / (年月をかけて)〈事〉'を'『作り上げる』,築き上げる;《受動態で》〈体・性質〉'を'作る / 〈U〉造り,講造(make) / 〈U〉〈C〉体格
built	 buildの過去・過去分詞 / 「(体が)…にできている,…造りの」の意を表す
bulge	 ふくらんだ部分,ふくらみ / (…で)ふくらむ,張り出す《+『out』 『with』+『名』》 / 'を'ふくらませる《+『of』+『名,』+『名』+『名』+『out』》 
bulgy	 ふくらんだ 
bulky	 かさばった,ばかに大きい / 扱いにくい
bumpy	 (表面が)でこぼこの / (車などが)がたがた動揺する
bunch	 (…の)『ふさ』(cluster),束《+『of』+『名』(複数)》 / 《話》(…の)群れ《+『of』+『名』(複数)》 / 一団(束)になる《+『up』》 / …'を'束(ふさ)にする
bunco	 いかさま,ぺてん 
bunko	 いかさま,ぺてん,かたり 
burgh	 《スコットランド》自治都市 
burly	 たくましい,がんじょうな 
burnt	 burnの過去・過去分詞 / 焼けた;焦げた;やけどした
burst	 『破裂する』,爆発する / 〈つぼみが〉ほころびる / 《通例進行形で》(…で)はちきれそうにいっぱいである《+『with』+『名』》 / 『急に(…)する』 / …'を'破裂させる,爆発させる,破る / (…の)『破裂』,爆発《+『of』+『名』》 / (…の)『突発』《+『of』+『名』》 
bushy	 低木のおい茂る / 毛深い,ふさふさした
butch	 (特に女性が)男っぽい / (英俗)（女性の同性愛の)男役の女性 / 短い角刈りに似た髪型 
buxom	 (女性の)胸が豊かな;(女性が)健康で快活な 
buyer	 買い手,購入者 / (小売店などの)仕入れ係,バイヤー
bylaw	 (協会・団体・会社などの)内規,付則,細則 
caber	 (力試しの競技で投げる)木の柱 / 柱投げ競技
cabin	 (通例,木造1階建ての)『小屋』 / 『船室』;(飛行機の)客室
cable	 〈C〉〈U〉 / (麻・針金をより合わせた)『太綱』 / 〈C〉〈U〉 / (電信などの)『ケーブル線』,被覆電線 / (またcablegram)〈C〉『海底電信』,外国電報 / …'を'太綱でつなぐ / …‘に'を敷く / 〈通信〉'を'『海外電報で送る』
cadet	 士官学校生徒,士官候補生 / (一般職の)見習 / 次男以下の息子 
cadge	 …'を'ねだる,せびり取る / ねだる,せびる / 物乞い,ねだり 
cadre	 (組織の中核をなす)幹部集団,中核グループ 
cager	 バスケットボール選手 
cairn	 ケルン(道標・記念碑として積み上げた石) 
calif	 =caliph 
calve	 〈雌牛が〉子を産む / 〈氷河・氷山などが〉一部分離する
calyx	 (花の)がく(萼) 
camel	 『ラクダ』 / =caisson2
cameo	 カメオ(浮き彫りをしためのう・貝殻などの装飾品) / 少量の,小規模の
campy	 風変わりな,気取った,芝居がかった 
candy	 《米》『砂糖菓子』,キャンデー(《英》sweets) / 《英》氷砂糖(sugar candy) / …を砂糖づけにする　砂糖で煮る / (煮つめて)…'を'結晶させる / …'を'甘くする / 氷砂糖状に固まる
canoe	 『カヌー』,丸木舟 / カヌーで行く / 〈湖など〉'を'カヌーで渡る / 〈物〉'を'カヌーで運ぶ
canst	 《古》canの二人称単数現在形 
canto	 長詩の大きな一区分(散文のchapterにあたる) 
caper	 はね回る,ふざける / はね回り / 《しばしば複数形で》《話》悪ふざけ 
capon	 去勢した食肉用おんどり 
caret	 (校正の)脱字符号 
cargo	 (船・飛行機の)『積荷』,貨物 
carny	 旅芸人 / =carnival3
carob	 イナゴマメ(地中海沿岸産の豆に似た実のなる木) / イナゴマメの実
carol	 祝いの歌,喜びの歌,賛歌 / 祝歌を歌う / 楽しく歌う,喜び歌う《+『away』》 / …'を'祝歌で祝う
carve	 …'を'『刻んで作る』,彫る,彫刻する / (食べやすいように)〈肉〉'を'切り分ける / 肉を切り分ける 
caste	 カースト(僧侶・士族・平民・どれいの4階級からなるインドの世襲的階級) / 世襲的な社会階級[制度] / 世襲による社会的地位(身分) 
cater	 (結婚式・パーティーなどで)(…の)食物を調達する,料理をまかなう《+『for』(『to』)+『名』》 / (…の)要求を満たす,用命に応じる《+『for』(『to』)+『名』》 / 〈結婚式・パーティーなど〉‘の'料理をまかなう,仕出しをする 
caulk	 〈継ぎ目〉‘に'アスファルト(麻くずなど)をつめる 
cause	 〈U〉『原因』,起因;〈C〉原因となる人(物事) / 〈U〉『正当な理由』,根拠,動機 / 《the~》(…という)(身を捧げるべき)主義,主張,目的《+『of』+『名』》 / 〈U〉〈C〉訴訟[の理由];申し立て / …'を'『原因となる』,'を'引き起こす,もたらす(bring about) 
cavil	 (…に)やたらにけちをつける,(…の)あらを捜す《+『at』(『about』)+『名』》 / あら捜し,揚げ足取り
cedar	 ヒマラヤスギ,セイヨウスギ;〈U〉杉材 
chafe	 …'を'こすって暖める / …'を'こすってすりむく / …'を'いらだたせる,じらす / (…で)すりむける,すり切れる;すりむいて痛む《+『from』+『名』》 / すり傷 
chain	 『鎖』;(装飾用の)鎖 / 《複数形で》『束縛』,拘束;囚人をつなぐ鎖 / (物事の)『連続』,つながり《+『of』+『名』》 / (商店・銀行・ホテルなどの)チェーン(一連の店が同一資本のもとで連携して経営される方式;その店) / チェーン(測量で用いられる単位;約21.7m) / …'を'『鎖でつなぐ』《+『up』(『together』)+『名,』+『名』+『up』(『together』)》
chair	　〈C〉『いす』(通例1人用の4脚で背のあるもの;armchair, easy chair, rocking chair, swivel chairも含めていう)/ 《the chair》権威のある座(教授・裁伴官・司教・知事・市長などの地位) / 《the chair》議長(chairperson) / 《the chair》《米》(死刑用の)電気いす / …‘の'議長をつとめる,'を'司会する / …'を'いすに座らせる 
chalk	 『チョーク』,白墨(はくぼく) / 〈U〉白亜,チョーク(白自で柔らかく,粉末になりやすい石灰岩) / 〈C〉チョークでつけた印,チョークでかいた絵 / …'を'チョークで書く(印をつける) / …‘に'チョークで塗る(こする),チョークで白くする 
champ	 …'を'むしゃむしゃ(ボリボリ)食べる / 〈馬が〉〈くつわのはみ〉'を'バリバリかむ / むしゃむしゃ食べる / くつわをかむ
chant	 〈C〉(単調なリズムで繰り変される)歌 / (一つの音で単調に歌われる)詠唱 / (詠唱調で歌われる)聖歌 / …'を'丹調に繰り返して歌う(叫ぶ) / …'を'詠唱する / (一般に)…'を'歌う / 丹調に繰り返して歌う(叫ぶ) / 詠唱する;聖歌を歌う
