have	 (また《話》『have got』)〈物〉‘を'『持っている』,所有している(進行形にできない)・(また《話》『have got』)〈親類・友人など〉‘が'『いる』,‘を'持っている,〈召使など〉‘を'かかえている;〈動物〉‘を'飼っている(進行形にできない) ・(また《話》『have got』)(特質・付属物として)…‘を'『備えている』,‘が'ある(進行形にできない) ・(また《話》『have got』)〈感情・意見など〉‘を'持つ,抱く(進行形にできない) ・《『have to』do》(また《話》『have got to』do)…『しなければならない』;《不定文で》…する必要がある・《『have to be』…》…に違いない・〈ある状態〉‘を'経験する,〈病気〉‘に'かかる / …‘を'食べる,飲む,〈たばこ〉‘を'吸う・《動作を表す名詞を目的語にして》《話》〈ある動作・行為〉‘を'する,行う・《『have』+『名』〈人〉+do》《しばしばwill, wouldと共に》〈人〉‘に'(…)させる,してもらう,される / 《『have』+『名』+『過分』》…‘を'(…)させる,される,してもらう・《+『have』+『名』+『形』(『名』,『過分』,do『ing』)〈補〉》…‘を'(…の)状態に保つ,(…の)ままにしておく(進行形にできない) / …‘を'得る,もらう,受ける(進行形にできない) ・〈人・動物が〉〈子〉‘を'産む,もうける・《通例否定文で》…‘を'許す,認める・(財産・社会的地位などを)持っている人;(資源・核兵器を)持っている国
turn	 …‘を'『回す』,回転させる / 〈角など〉‘を'『曲がる』,迂回(うかい)する / …‘を'『ひっくり返す』,裏返す / …‘の'『向きを変える』,‘を'方向転換させる / …‘を'向ける / …‘を'『変化させる』,変質(変色)させる / …‘を'行かせる,追い払う / 〈ある年齢・時刻・数量など〉‘を'越す,過ぎる / 《副詞[句]を伴って》…‘を'乱す,めちゃめちゃにする / 〈胃〉‘を'むかつかせる;〈心・頭など〉‘を'混乱させる,狂わせる / …‘を'折る,曲げる,ねじる;〈足首〉‘を'くじく / …‘に'丸みをつける;(旋盤・ろくろで)…‘を'作る / …‘を'きれいに形作る;〈文・曲など〉‘を'うまく作る / 〈商品・資金〉‘を'回転させる;〈利益〉‘を'あげる / 〈土・畑など〉‘を'掘り返す(plow) / (何かを軸・中心にして)『回る』,回転する / (…に)『進路を変える』;〈道路などが〉(…に)曲がる;折れる;〈風などが〉(…に)向きを変える《+to(toward)+名》 / 〈人が〉(…に向かって)ふり向く《+toward+名》,(…から)そらす《+from+名》 / 〈人が〉ころがる,寝込りを打つ / 〈物が〉さかさになる,裏返しになる / (…に)心(注意など)を向ける《+to+名》;(…から)心(注意など)をそらす《+from+名》 / 変わる,なる / 〈木の葉などが〉変色する;〈牛乳などが〉変質する,腐敗する / 〈胃が〉むかつく;〈心・頭が〉混乱する,変になる;〈頭が〉ふらつく / 〈パイプなどが〉曲がる,たわむ / 〈C〉『回転』,回ること / 〈C〉『方向転換』,曲がること,折り返し / 〈C〉曲がり目;曲がり角,折り返し点 / 〈C〉《a turn》(状況などの)変化,転機;《the turn》(…の)変り目,転換期《+of+名》 / 〈C〉『順番』,番 / 〈C〉《a turn》一回りの散歩(ドライブ);一仕事 / 〈C〉行い,行為 / 《a turn》言い回し,言葉遣い / 〈C〉(…の)性向,気質;素質,才能《+『for』+『名』(do『ing』)》 / 〈C〉形,格好 / 〈C〉《話》(めまい・吐き気などの)発作《+of+名》 / 〈C〉《話》ショック,はっとすること / 〈C〉必要,急場 / 〈C〉見方,解釈;くふう,ひねり(twist) / 〈C〉《おもに英》(寄席などの)出し物,演芸
real	 (想像でなく)『現実の』,実際の,真実の / (まがいものでなく)『本物の』 / 不動産の / ほんとうに,とても(very)
want	 〈物事〉‘を'『ほしがる』,望む / 『…‘を'必要とする』 / want doing《おもに英》…されることが必要である / 〈人・物が〉…‘を'欠いている;〈ある数量〉‘だけ'不足している / 《しばしば受動態で》〈人〉‘に'『用がある』,会いたい,‘を'捜している / 『困窮する』;(…に)欠ける,(…が)無くて困る,(…を)必要とする《+for+名》 / 〈U〉《時に a want》(…の)『欠乏』,不足《+of+名》 / 〈U〉(…の)『必要』,入用《+of+名》 / 〈U〉困窮,貧困 / 《複数形で》必要なもの,ほしいもの
form	 〈C〉〈U〉(色・材質に対して)『形』,形状,姿 / 〈C〉『人体』,体つき / 〈C〉〈U〉『外観』,格好,人影 / 〈C〉〈U〉(ものの現れる)『形態』,形式 / 〈C〉(生物などの)『種類』,品種 / 〈U〉(芸術作品の)表現形式 / 〈U〉(特にスポーツで)(競技者の)フォーム / 〈U〉(心身の)調子,元気 / 〈C〉(印刷された)書き込み用紙,ひな形 / 〈U〉《話》(ある集団などの)やり方,仕方,方式 / 〈C〉〈U〉しきたり,伝統的な儀式 / 〈C〉(英国の学校・米国のある学校で)学年,学級 / 〈U〉〈C〉(意味に対する)形態,形;語形 / 〈C〉(通例寄りかかりのない)長い木のいす / 〈素材〉‘に'形を与える,(…に)…‘を'形作る《+『名』+『into』+『名』》 / (素材から)…‘を'形作る《+『名』+『out of』+『名』》 / …‘を'組織する,構成する / 〈考えなど〉‘を'まとめる,思い付く;〈計画など〉‘を'立てる / 〈習慣など〉‘を'身に付ける;〈交際など〉‘を'結ぶ / 〈文章など〉‘を'組み立てる;〈複数形など〉‘を'作る / (ある順序に)配列する,整列させる / 〈物が〉形を成す / 生じる,現れる / (…に)なる《+『into』+『名』》
late	 (定刻・通常・予定の時間より)『遅れた』,遅い / (時刻が)『遅い』,遅く始まる,遅くまで続く;夜更けの / (時期が)『遅い』,終りごろの,後期の / 『最近の』,最新の(recent) / 《the~,one's~》『前の』,先の,前任の(former) / 《the~,one's~》『故』…,つい先ごろ死んだ / (定刻などより)『遅れて』,遅く / (時刻が)『遅く』,遅くまで,(特に)夜更けに;(時期が)遅く,終りごろに / 『最近』,近ごろ(recently) 
home	 〈C〉〈U〉《おもに米》(家族の住む)『家』,住居,わが家 / 〈U〉〈C〉『家庭』,家庭生活 / 〈U〉『生まれ故郷』,長く住んでいる所;故国,本国 / 〈C〉(動物の)生息地,(植物の)原産地;(物・思想などの)発祥地,本場 / 〈C〉(家のない人・病人などの)『収容施設』,ホーム《+『for』+『名』》 / 〈U〉〈C〉決勝点,ゴール;(野球で)本塁,ホーム / 『家庭の』;故郷の / 『国内の』,自国の / ぐさりと急所をつく,胸にこたえる / (スポーツの試合などが)地元(ホームグランド)で行われる / 『家へ』(に);故郷へ(に);本国(母国)へ(に) / (ねらった所に)ずぶりと,深々と / 胸にこたえるほと,ぎくりと / 〈人が〉帰宅(帰国)する;〈ハトなどが〉巣に帰る / 〈誘導単;飛行機などが〉(目標に)向かう,(…へ)誘導される《+『in on』+『名』》 / (特定の場所に)家を持つ,住む / 〈誘導弾・飛行機など〉‘を'誘導する / 〈人〉‘に'家を与える
open	 …‘を'『開く』,開ける;…‘の'ふた(おおい)をとる / …‘を'『切り開いて作る』,開拓する;…‘を'全開通させる《+『名』+『up,』+『名』+『up』》 / …‘を'『広げる』《+『up』+(『out』)+『名,』+『名』+『up』(『out』)》 / …‘を'『始める』 / …‘を'開業する,開店する,開場する / (人に)〈心など〉‘を'打ち明ける,〈秘密など〉‘を'漏らす《+『名』+『to』+『名』》 / (新思想などに)〈心・目〉‘を'開く《+『名』+『to』+『名』》 / 〈戸などが〉『開く』,あく / 〈花・つぼみが〉開く《+『out』》 / 〈学校などが〉『始まる』;〈店などが〉開く / 〈道路などが〉開通する / (…に)向かって開いている,(…に)通じている《+『out』『on』(『upon,to,onto』)+『名』》 / 《副詞[句]を伴って》〈風景などが〉広がる,ひらける / 本を開く;(…)ページを開く《+『to』(《英》『at』)+『名』》 / (窓・口などが)『開いた』,開いている;(包みなどが)広げられて / (花が)咲いた / (店などが)『開いている』,開業している;(催し物が)『公開の』,だれでも入れる / 《名詞の前にのみ用いて》ふたのしてない,屋根のない,おおいのない / 広く開いた,さえぎるものがない / 公然の / 率直な,遠慮しない / さらされている,無防備の / 《補語にのみ用いて》(職・地位などが)空位の;(時間などが)あいている / (問題・議事などが)未解決の / 凍結しない,雪や霜の降らない;温和な / (漁・猟が)解禁の / (音声が)開口音の;開音節の / 《the~》戸外,野外 / 空き地;(樹木のない)開けた場所,平野 
hold	 (手などに)…‘を'『持つ』,『持っている』,つかむ,つかんでいる・〈人・物〉‘を'『押しとどめる』,押えておく,留めておく・《副詞[句]を伴って》(ある位置・状態に)〈手・足など体の一部〉‘を'『保つ』(keep) ・〈容器などが〉〈物など〉‘を'『入れている』,収容できる(進行形にできない) ・〈重い荷物など〉‘に'耐える,持ちこたえる(bear);〈物〉‘を'支える(support) ・〈職・地位など〉‘を'占める,占めている(進行形にできない) ・〈土地・財産など〉‘を'所有している(進行形にできない) ・〈会など〉‘を'開催する,〈式〉‘を'行う・〈軍隊などが〉〈土地など〉‘を'確保する;(敵などから)〈とりでなど〉‘を'守る《+『名』+『against』+『名』》・〈注意・関心・興味など〉‘を'引きつけておく,引き留めておく・〈考え・意見など〉‘を'心にいだいている・…‘と'考える,信ずる / 『しっかりと付いている』,切れ(折れ)ないでいる・(…に)『しっかりつかまっている』,しがみついている《+『to』+『名』》・(約束・信念などを)固く守る《+『to』+『名』》・《『hold』+『形』〈補〉》(…の)『ままである』・(引き続いて)有効である,当てはまる・〈U〉〈C〉(…を)手でつかむ(握る)こと』,把握《+『of』(『on』)+『名』》・〈U〉(人の心などを)つかむこと,支配[力],掌握《+『on』(『over』)+『名』》・〈C〉つかまるもの,手(足)がかり・(音楽の記号の)フェルマータ
head	 (顔を含めた)『頭』,頭部,首;(髪の生えている部分の)頭 / 『頭脳』,頭の働き,知力,才能;理性 / 『長』,指導者,支配者 / (ある物の)頭,上部,先端,先頭 / (川・泉の)源,水源 / (人・動物の)頭数,一人,1頭 / 『首席』,首位 / 《複数形で》(頭像のある)貨幣の表 / 項目,表題(新聞の)見出し / 《米俗》マリファナ常用者 / 長の,指導者の / …‘の'先頭に立つ,‘を'率いる;…‘の'長である / (…の方へ)…‘を'向ける《+『名』+『for』(『toward』)+『名』》 / (サッカーで)〈ボール〉‘を'頭で受ける,ヘディングする / (…に向かって)進む《+for(toward)+名》・「give a head」で「オーラルセックスをする・相手の性器をなめる」 
word	 〈C〉『語』,単語 / 《しばしば複数形で》(表現された)『言葉』;(自分の考えに基く)言葉 / 〈C〉《しばしば複数形で》『短い会話』,ひと言 / 《単数形で;one's word》『約束』,保証 / 〈U〉《冠詞をつけずに》『知らせ』,伝言 / 《the word》合い言葉 / 〈C〉《the word, one's》命令,指図 / 《複数形で》『口論』,論争 / 《the Word》聖書,(聖書に書かれた)神の言葉 / …‘を'言葉に表す
lead	 《方向を表す副詞[句]を伴って》…‘を'『導く』,案内する / 〈道・灯火などが〉…‘に'道筋を示す;(…へ)…‘を'導く《+『名』+『to』(『into』)+『名』》 / …‘の'先頭になる,1番である / …‘の'『率いる』,指揮する / 〈ある人生・生活〉‘を'経験する,生きる,送る / 『先頭に立つ』,(競技・成績などで)リードスル / 〈人が〉『案内する』,先導する / (…に)〈道などが〉『通じている』《+『to』+『名』》 / (…の)結果となる《+『to』+『名』(do『ing』)》 / 〈U〉《the~》『先頭』,首位 / 〈C〉《a~》相手を引き離した点(時間,距離) / 〈C〉模範,手本(example) / 〈C〉(問題解決の)手がかり,ヒント(clue) / 〈C〉(劇・映画などの)主役,主演俳優 / 〈C〉(新聞報道記事などの本文の前におく要約した)前文,前書き,リード / 先頭の,主要な
plan	 『計画』,『案』,プラン,設計 / 『設計図』,『図面』;(小区域の)地図,市街図 / …‘を'『計画する』,‘の'案を立てる / …の設計図をかく,‘を'設計する / 計画を立てる 
face	 〈C〉『顔』 / 〈C〉表情,顔つき / 〈C〉(物の)『表面』(surface),(建物の)正面(front),(貨幣・カードなどの)表《+『of』+『名』》 / 〈C〉(…の)外観,様子《+『of』+『名』》 / 〈U〉面目,面子(めんつ) / 〈C〉(多角面体の)面 / 〈C〉(活字・版の)面(印刷する部分);(活字の)書体 / 〈C〉(鉱山の)採掘現場 / …‘に'『面する』,‘の'ほうを向く / (…のほうに)…‘を'向ける《+『名』+『toward』+『名』》 / 〈人が〉〈危険など〉‘に'直面する,立ち向かう,対抗する;〈危険などが〉〈人〉‘に'迫る / 〈事実・現実など〉‘を'直視する,認める / (…で)〈壁など〉‘に'上塗り(上張り)をする《+『名』+『with』+『名』》 / (ある場所・方角に)面する,向く《+『on』(『to』,『toward』)+『名』》
