abed	 寝床に(in bed) 
cast	 …'を'『投げる』,ほうる / …'を'『投げ捨てる』,ほうり出す《+『off』+『名』,+『名』+『off』》 / (…に)〈影・光〉'を'『投げ掛ける』;〈疑に・魔法など〉'を'かける《+『名』+『on』 (『upon』)+『名』》 / 〈目・視線など〉'を'『向ける』,投げ掛ける / 〈票〉'を'『投じる』 / (…に)〈名誉・祝福〉'を'与える,〈非難など〉'を'浴びせる《+『名』+『on』(『upon』)+『名』》 / (人に)〈役〉'を'つける《+『名』〈役〉+『to』+『名』》;(ある役に)〈人〉'を'当てる《+『名』+『for』+『名』〈役〉》 / (鋳型に流し込んで)…'を'鋳造する / 物を投げる,(特に)釣り糸を投げる / 鋳造される / 〈C〉『投げること』,(光・影・視線などを)投げかけること / 〈C〉(物を)投げられる距離,射程 / 〈C〉(劇・映鹿を)『配役』 / 〈C〉(骨折した手足を固定する)ギプス / 〈C〉(…の)鋳型,鋳造[物]《+『of』+『名』》 / 〈C〉〈U〉(人・物の特懲的な)外形,外観;(…の)型,傾向;性質《+『of』+『名』》 / 〈U〉(…の)色あい,色調《+『of』+『名』》 / 《a cast》(材木などの)ゆがみ,そり;《まれ》(軽度の)斜視
cave	 『ほら穴』,(特に)横穴 / 〈地盤などが〉陥没する / 〈帽子など〉'を'へこます 
cavy	 テンジクネズミ(南米産) 
cent	 〈C〉『セント』(1ドルの1/100;米国・カナダの貨幣単位;《略》￠) / 〈C〉1セント銅貨 / 〈U〉(単位としての)100 
cert	 碓実[なこと] 
chap	 『やつ』(fellow) 
char	 …'を'焦がす / (焼いて)…'を'炭にする / こげる 
chat	 〈C〉〈U〉《話》(…との)『雑談』,談笑《+『with』+『名』》 / 〈C〉ツグミ類の鳥 / (…について)『談笑する』《+『away』+『about』+『名』》 
chef	 コック長,料理長 / コック,料理人
chew	 〈食物〉'を'『かむ』,かみくだく / …'を'かんで作る / かむ,かみこなす / かむこと;〈C〉かみ,一口
chin	 『あご』(下あごの先端) / (鉄棒で)懸垂をする
chip	 『木の切れ端』,削りくず;(石・陶器などの)『破片』,かけら / 欠けあと,ひび / 《複数形で》《英》=French fry / (食物の)薄切り / 干からびたもの;無味乾燥なもの / (ポーカーなどのゲームにお金の代りに使われる)チップ,点棒 / …'を'『欠く』,削る,そぐ《+『off』+『名,』+『名』+『off』》;(…から)…'を'欠く,そぐ《+『名』+『off』(『from』)+『名』》 / 欠ける,割れる《+『off』》;(…を)欠く,削る《+『at』+『名』》
chit	 (飲食店の)請求伝票 / 短い手紙;メモ
chop	 (なた・おのなどで)…'を'『たたき切る』,ぶった切る / …'を'たたき切って(切り開いて)作る / …'を'切り刻む《+『up』+『名,』+『名』+『up』》 / …'を'切って短くする / (テニス・クリケットで)〈ボール〉'を'切る / (…を)たたき切る,(…に)打ってかかる《+『at』+『名』》 / (テニス・クリケットで)ボールを切る / 『たたき切ること』,ぶった切り / 切り取った物;(骨つきの)厚切りの肉 / 小さく立ち騒ぐ波,逆波 / チョップ(テニス・クリケットで切りつけるように打つこと) 
chow	 チャウチャウ(中国原産の中型犬) 
chub	 チャブ(コイ科の淡水魚) 
chug	 シュッシュッと音をたてる(音をたてて動く)《+『along』(『away』)》 / (機関車・エンジンなどの)シュッシュッという音
chum	 《話》(特に男性の)親友,仲よし / (魚を集める)まき餌(え) / 《英古》(…と)部屋を分けあう《+『together with』+『名』》 / まき餌をまく
ciao	 やあ(Hi.) / じゃまた(So long.)
cine	 =cinematography 
cion	 =scion 
cite	 (作家・作品から)〈文章・句〉'を'『引用する』(quote)《+『名』+『from』+『名』》 / …'を'召喚する,呼び出す(summon) / (証拠・確認などのために)…'を'引き合いに出す / …‘に'感謝状を出す,'を'表彰する
city	 〈C〉(特に行政権を持っている)『都市』,都会,規模の大きい町 / 〈C〉《米》市(州の公認を得た市議会を持つ行政区で一般にtown, villageよりも大きい) / 《the cit・y》《集合的に》都市の[全]市民,全市 / 《the Cit・y》シティ(Londonの旧市街で商業・金融の中心地域)
clad	 clotheの（古語・文語における）過分・過去分詞 
clam	 ハマグリ / ハマグリを取る
clan	 (特にスコットランド高地人の)氏族 / 《話》一家,一族,一門 / (共通の利害を持つ)一味,一党,閥 
clap	 (短く鋭い)ピシャリ(パチン,バタン,ガタン)という音 / 《単数形で》平手打ち / 〈手〉'を'『パチン』(『パチパチ』)『とたたく』 / …'を'ピシャリ(パチン)とたたく(打ちつける) / (激励・あいさつとして)〈人〉'を'ポンとたたく / (ある方向・状態に)…'を'急に動かす,さっと送る / (…に)手をたたく《+『for』+『名』》 / ピシャン(パチン,バタン)と音を立てる
claw	 (鳥・動物の足の)『かぎづめ』;かぎづめのある足 / (エビ・カニなどの)はさみ / かぎづめの形をした物(くぎ抜きなど) / …'を'かぎづめでひっかく(引き裂く) / …'を'かぎづめでひっかいて作る 
clay	 『粘土』;泥土 / (聖書で,人間の肉体が造られているとされる)土
clef	 (楽譜の五線上の最初に付ける)音部記号 
clew	 (また『clue』)(森や迷路から抜け出すためたぐる)糸玉 / (難問解決の)糸口 / (また『clue』)帆耳(帆の最下端) 
clip	 『紙ばさみ』,クリップ;留める物 / (機関銃の) 挿弾子｛そうだんし｝、弾倉｛だんそう｝　…'を'『はさむ』,はさんで留める
clod	 (特に)土の塊,土くれ / 《話》ぼんくら
clog	 (…の)じゃま物,障害物《+『to』+『名』》 / 《複数形で》木(コルク)底の靴(サンダル) / …‘の'動きを妨げる / 〈管・道路など〉'を'ふさぐ,詰まらせる / 〈菅などが〉詰まる;〈油・泥などが〉固まって詰まる 
clot	 ゼリー状の固まり / 〈血液・ミルクなどが〉凝固する / …'を'凝固させる 
cloy	 〈ごちそう・ぜいたくなどが〉〈人・食欲など〉'を'あきあきさせる,うんざりさせる / 〈ごちそう・ぜいたくなどが〉あきがくる
club	 『こん棒』 / (ゴルフなどの)『クラブ』,打球棒 / (社交・スポーツなどの)『クラブ』,同好会;クラブ室,クラブ会館 / (カードで)クラブのマーク;クラブの札;《複数形で》《単数・複数扱い》クラブの組 / ナイトクラブ / …'を'こん棒でなぐる
clue	 (問題・なぞなどを解く)『手がかり』,(研究などの)『糸口』,端緒;(話などの)筋道《+『to』+『名』》 / =ciew1 / =clew3 / 《『clue in』(『up』)+『名,clue』+『名』+『in』(『up』)》(…について)…‘に'手掛かり(情報)を与える《+『about』(『on』)+『名』》
coal	 〈U〉(物質としての)『石炭』;〈C〉(1個の)『石炭』;《複数形で》(燃料用に砕いた)石炭の小塊 / 〈C〉燃えている燃料;燃えさし / 〈船・機関車など〉‘に'石炭を供給する(積み込む) / 〈船などが〉石炭を補給する
coat	 『コート』,オーバー,外とう / (男子背広・婦人スーツの)『上着』;(婦人・子供の)長上着 / (動物の)毛,毛皮;(植物の)外被,皮 / 表面をおおうもの;(ペンキ・ニスなどの)塗り;(金属などの)めっき / 〈人〉‘に'上着を着せる / 〈ほこりなどが〉〈症など〉'を'『おおう』;(ペンキなどで)〈壁など〉'を'塗る《+『名』+『with』+『名』》
coax	 (やさしい言葉・態度などで)〈人〉'を'『うまく説き伏せる』 / (人から)''を'うまく手に入れる《+『名』+『from』(『out of』)+『名』》
coda	 コーダ(楽章・楽曲の終曲部) 
code	 『法典』 / (社会・階級・団体などを支配する)『規約』,おきて,慣例 / 『信号法』;暗号 / 〈通信など〉'を'暗号(信号)にする
coif	 頭布(ずきん)(騎士がかぶとの下に修道女がベールの下につける) / =coiffure
coil	 (綱・針金などの)『輪』,うず巻き《+『of』+『名』》 / (…の)『一巻き』,1回の巻き《+『of』+『名』》 / (電気の)コイル;コイルを使用した装置 / (…の回りに)〈ロープ・針金など〉'を'『ぐるぐる巻く』《+『名』+『around』(『round』)+『名』》 / (…に)『巻きつく』,輪になる,取り往く,〈蛇などが〉とぐろを巻く《+『around』(『round』)+『 名』》 
coin	 (1枚の)『硬貨』(金貨・銀貨・銅貨・ニッケル貨など);〈U〉《集合的に》貨幣,硬貨 / 〈貨幣〉'を'鋳造する / 〈金属〉'を'(貨幣に)鋳造する《+『名』+『into』+『名』》 / 〈新語など〉'を'作り出す;〈理由など〉'を'でっちあげる
coir	 ココヤシの実の外側の毛で作ったロープ・マット用のじょうぶな繊維 
coke	 (燃料の)コークス / 〈石炭〉'を'コークスにする
cola	 〈C〉コーラの木(熱帯産の木) / 〈U〉コーラの木の実からつくった炭酸飲料(Coca-Cola, Pepsi Colaなど)
cold	 『寒い』,冷たい;冷えた,冷やした / (性格・態度などが)『冷たい』,冷淡な,熱意のない;無情な,冷酷な / (物事が)人をがっかりさせる,つまらない / (色調が)冷たい,寒色の / (獲物のにおい臭が)かすかな,弱い / 《話》(打撃などで)意識を失った,失神した / 完全に,全く / 〈U〉《しばしばthe~》『寒さ』,寒け,冷たさ / 〈C〉,時に〈U〉『かぜ』,感冒 
colt	 (雄の)『子馬』若ごま(普通4‐5歳まで) / 《話》青二才
coma	 こん睡状態 
comb	 『くし』;くし状の物 / くしでとかすこと,くし入れ / (綿・羊毛などをすく)すき機 / (鶏の)とさか / 波がしら / ハチの巣(honeycomb) / 〈髪〉'を'『くしですく』,とく;〈羊毛など〉'を'すく / (…を捜して)…'を'しらみつぶしに捜索する《+『名』+『for』+『名』》
come	 〈相手が〉(話し手の方へ)『来る』,やって来る;〈話し手が〉(相手の方へ)『行く』,伺う《+『to』(『into』)+『名』》 / (ある場所に)『着く』,到着する《+『to』+『名』》 / 〈時が〉『到来する』;〈順序が〉くる / (…に)『届く』,達する《+『to』+『名』》 / 〈事が〉(…に)『起こる』,生じる,降りかかる《+『to』+『名』》,(…から)起こる《+『from』(『of』)+『名』》 / 〈物が〉現れる,できる;〈子が〉生まれる / 〈考えなどが〉(人の)心に浮かぶ《+『to』+『名』》 / 〈人が〉(…の)『出身である』,生まれである《+『from』(『of』)+『名』》 / 〈商品などが〉利用できる,手に入る / (ある状態・結果に)『なる』,至る / 《命令形で促したり警告などを表して》さあ,これこれ / 《仮定法現在で,年月・時期などを表す語[句]の前で》…が来ると / 《仮定法現在》〈障害・難関など〉が来ても / 《『come the』+『名』の形で》(…の)ふるまいをする,(…)ぶる
coms	 《話》=combination4 
cone	 円すい,円すい形 / 円すい形のもの / 球果(松かさなど)・暴風警報球. 
conk	 〈人〉‘の'頭をゴツンとやる / 鼻
cope	 対抗する;(難局に)対処する,打ち勝つ《+『with』+『名』》 
copy	 〈C〉『写す』,複写,(絵などの)模写,複製;謄本,抄本 / 〈C〉(同一書籍・雑誌・新聞などの)『部,冊』 / 〈U〉(印刷の)原稿,草稿 / 〈U〉ニュースねた,原稿材料 / …'を'『写す,複写する』,模写する / …'を'まねた / (…から)…'を'こっそり写す,盗作する《+『名』+『from』(『off』)+『名』》 / (…から…へ)『複写する』《+『from』(out of』)+『名』+『into』+『名』》 / (…を)こっそり写し取る《+『from』(『off』)+『名』》 
cord	 〈U〉〈C〉『綱,ひも』(stringより太くropeより細い) / 〈U〉〈C〉束縛,きずな / 〈C〉〈U〉(電気の)『コード』,線 / (またchord)〈C〉(動物体の)索状組織,腱(けん) / 〈C〉うね織り,(特に)コールテン;(うね織りの)うね;《複数形で》コールテンのズボン / 〈C〉コード(材木の容積の単位で約6.25m) / …'を'綱(ひも)で縛る 
core	 〈C〉(果物の)『しん』 / 〈U〉(物事の)核心 / 〈C〉(電気の)磁心,磁極鉄心 / …‘の'しんを抜く
cork	 〈U〉『コルク』[質] / 〈C〉コルクの栓,コルク製品 / …‘に'コルクで栓をする / コルク製の
corm	 球茎 
corn	 〈U〉(米,カナダ,オーストラリアで)『とうもろこし』;〈C〉とうもろこしの実(おもに《英》maize, Indian corn) / 〈U〉《英》《集合的に》『穀草』(wheat, oatsなど);『穀物』,穀類;穀粒 / 〈C〉《話》古くさい(お涙ちょうだい的な)もの(こと) / 〈牛肉など〉'を'塩づけにする
cosh	 (武器として用いる金属・石などを詰めた)こん棒 
cost	 〈品物が〉〈ある金額〉‘が'『かかる』,'を'要する / 〈物事が〉…'を'『犠牲にさせる』,失わせる / 〈仕事など〉‘の'手間(原価)を計算する / 『代価』,値段;《しばしば複数形で》経費,費用 / 《the cost》『犠牲』,損失 / 《複数形で》訴訟費用
